sample_id,FISHES_id,long_tot,long_fourche,mass,sex,egg_dvpment,pop,ecotype,true_eco,genotype,STL,MXL,MDL,POL,OOL,PSL,TTL,DOL,LUL,ANL,CPL,CPD,PCL,PVL,BDD,HDD,AMO,HEA,lower_gill_raker,upper_gill_raker,middle_gill_raker_length,data$sample_id
NOT_1EARLY,coarNOTs_7501-21,389,358,548,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.9,2.15,3.11,1.27,1.37,3.68,10.46,3.9,8.34,3.63,2.29,4.48,4.59,3.66,7.48,3.17,64.38,5.41,26,16,57,NOT_1EARLY
NOT_2EARLY,coarNOTs_7502-21,368,335,440,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.56,2.06,3.1,1.31,1.45,3.65,9.27,3.88,7.36,3.46,2.34,4.51,4.23,4.08,6.65,2.89,57.6,4.41,26,15,60,NOT_2EARLY
NOT_3EARLY,coarNOTs_7503-21,405,368,648,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.24,2.07,3.17,1.52,1.32,4.34,10.24,3.7,8.69,3.53,2.6,4.33,4.71,4.36,7.96,3.18,71.56,5.12,26,16,53,NOT_3EARLY
NOT_4EARLY,coarNOTs_7504-21,388,355,575,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.45,2.09,3.75,1.62,1.31,4.14,10.13,3.93,8.13,3.57,2.76,4.2,4.78,4,7.51,3.39,56.9,4.96,27,16,66,NOT_4EARLY
NOT_5EARLY,coarNOTs_7505-21,390,357,506,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.78,2.1,3.05,1.37,1.2,3.98,10.46,3.99,7.97,3.24,2.48,4.32,4.22,3.9,6.83,2.86,68.54,5.12,29,18,58,NOT_5EARLY
NOT_6EARLY,coarNOTs_7506-21,379,357,588,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.78,1.95,2.83,1.41,1.22,3.55,10.53,3.67,8.21,3.45,2.51,4.12,4.56,4.13,7.48,2.83,52.62,4.82,26,15,52,NOT_6EARLY
NOT_7EARLY,coarNOTs_7507-21,380,343,446,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.18,1.81,2.74,1.39,1.14,3.6,9.52,4.15,8.08,3.57,2.25,3.97,4.08,3.84,7,2.71,57.34,4.51,21,17,56,NOT_7EARLY
NOT_8EARLY,coarNOTs_7508-21,387,353,536,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.14,2.11,3.34,1.87,1.25,3.83,9.86,3.29,8.28,3.18,2.44,4.43,4.56,3.77,7.39,3.15,62.71,4.85,25,16,47,NOT_8EARLY
NOT_9EARLY,coarNOTs_7509-21,401,367,474,F,3,NOT_summer,summer_run,summer_run,NOT_summer,33.47,1.98,3.08,1.39,1.24,4.14,10.36,4.47,8.52,3.65,2.79,5.05,4.67,4.06,8.12,3.06,68.91,4.7,NA,NA,NA,NOT_9EARLY
NOT_10EARLY,coarNOTs_7510-21,382,347,487,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.27,2.04,2.97,1.46,1.35,4,9.85,3.79,8.59,3.16,2.61,4.91,4.26,3.86,8.13,2.96,41.17,4.99,26,15,55,NOT_10EARLY
NOT_11EARLY,coarNOTs_7511-21,331,300,231,F,3,NOT_summer,summer_run,summer_run,NOT_summer,27.58,1.72,2.72,1.39,1.25,3.22,8,3.54,6.91,2.73,1.89,3.65,4.09,3.7,6.1,2.55,49.52,4.32,27,15,47,NOT_11EARLY
NOT_12EARLY,coarNOTs_7512-21,375,344,434,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.44,1.81,2.68,1.41,1.1,3.8,10.01,3.52,7.87,3.71,2.4,4.4,4.41,3.53,7.16,2.64,57.76,4.41,28,17,61,NOT_12EARLY
NOT_13EARLY,coarNOTs_7513-21,402,368,526,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.9,2.11,3.2,1.54,1.3,4.17,10.43,4.14,8.67,3.31,2.78,4.75,4.73,3.82,7.72,3.05,69.39,4.72,23,13,65,NOT_13EARLY
NOT_14EARLY,coarNOTs_7514-21,408,370,506,M,2,NOT_summer,summer_run,summer_run,NOT_summer,34.22,1.94,3.04,1.35,1.3,4.6,10.89,3.6,8.66,3.56,2.46,4.96,5.04,4.55,7.43,2.96,67.24,4.79,27,16,67,NOT_14EARLY
NOT_15EARLY,coarNOTs_7515-21,392,357,434,F,3,NOT_summer,summer_run,summer_run,NOT_summer,33.25,1.89,2.97,1.53,1.22,3.86,10.57,4.21,8.18,3.43,2.51,4.63,4.39,3.79,7.55,2.96,60.78,4.56,NA,NA,NA,NOT_15EARLY
NOT_16EARLY,coarNOTs_7516-21,384,353,435,M,2,NOT_summer,summer_run,summer_run,NOT_summer,32.76,2.05,3.25,1.62,1.4,4.43,10.2,3.68,8.16,3.67,2.75,4.29,4.61,3.6,7.48,3.19,58.81,5.06,26,15,56,NOT_16EARLY
NOT_17EARLY,coarNOTs_7517-21,375,352,524,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.01,2.02,3.25,1.36,1.35,3.74,10.25,3.94,8.14,3.52,2.56,4.15,4.09,3.63,7.35,3.16,52.59,4.87,25,15,61,NOT_17EARLY
NOT_18EARLY,coarNOTs_7518-21,375,340,489,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.23,1.86,3.01,1.43,1.37,3.69,9.81,3.89,7.93,3.23,2.58,3.96,4.54,3.66,7.22,2.96,64.12,4.76,24,14,56,NOT_18EARLY
NOT_19EARLY,coarNOTs_7519-21,394,362,584,F,3,NOT_summer,summer_run,summer_run,NOT_summer,33.05,2.23,3.19,1.5,1.34,4.11,10.61,4.13,7.87,3.6,2.49,4.53,4.61,3.93,7.6,3.13,65.34,5.07,25,13,56,NOT_19EARLY
NOT_20EARLY,coarNOTs_7520-21,401,365,637,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.77,2.07,3.21,1.5,1.33,4.17,10.79,3.88,8.53,3.31,2.66,4.57,4.57,3.66,7.66,3,67.74,4.86,26,16,60,NOT_20EARLY
NOT_21EARLY,coarNOTs_7521-21,467,427,1000,M,3,NOT_summer,summer_run,summer_run,NOT_summer,39.13,2.31,3.53,1.83,1.34,4.89,13.01,4.11,9.79,4.41,2.99,5.38,5.52,5.03,8.92,3.62,57.49,5.45,27,15,65,NOT_21EARLY
NOT_22EARLY,coarNOTs_7522-21,375,346,496,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.76,1.87,3.01,1.43,1.27,4.14,9.86,3.32,8.16,3.22,2.49,4.57,4.06,4.23,7.09,2.93,70.28,4.79,27,16,63,NOT_22EARLY
NOT_23EARLY,coarNOTs_7523-21,429,386,752,F,3,NOT_summer,summer_run,summer_run,NOT_summer,36.1,1.98,2.94,1.25,1.27,4.07,11.78,4.44,8.97,3.65,2.71,5.34,4.42,4.52,8.11,3.18,72.29,4.02,26,16,52,NOT_23EARLY
NOT_24EARLY,coarNOTs_7524-21,425,392,879,F,3,NOT_summer,summer_run,summer_run,NOT_summer,36.27,1.99,3.12,1.59,1.19,4.22,12.4,4.39,9.16,4.08,2.83,4.93,5.17,3.85,8.89,3.25,60.81,5.33,28,16,57,NOT_24EARLY
NOT_25EARLY,coarNOTs_7525-21,379,348,580,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.1,1.84,2.87,1.33,1.11,4.14,10.3,3.95,7.88,3.49,2.56,4.48,4.68,3.8,7.64,2.95,60.34,4.66,26,15,52,NOT_25EARLY
NOT_26EARLY,coarNOTs_7526-21,422,382,699,F,3,NOT_summer,summer_run,summer_run,NOT_summer,35.99,2.19,3.28,1.62,1.32,4.07,11.79,4.28,8.32,4.02,2.6,4.85,4.45,4.05,7.79,3.21,63.89,5.01,28,16,63,NOT_26EARLY
NOT_27EARLY,coarNOTs_7527-21,405,373,688,M,3,NOT_summer,summer_run,summer_run,NOT_summer,35.4,2.12,3.47,1.69,1.41,4.22,11.47,4.29,8.55,3.85,2.76,4.62,5.38,3.81,7.88,3.33,54.31,5.16,24,15,59,NOT_27EARLY
NOT_28EARLY,coarNOTs_7528-21,393,359,571,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.45,2.06,3.11,1.45,1.31,3.82,10.42,3.86,8.24,3.21,2.46,4.76,4.68,4.22,7.34,3.2,50.29,4.47,26,14,65,NOT_28EARLY
NOT_29EARLY,coarNOTs_7529-21,386,354,568,M,3,NOT_summer,summer_run,summer_run,NOT_summer,32.65,1.6,2.8,1.23,1.36,4.05,10.55,3.9,7.88,3.53,2.53,4.58,4.48,4.27,7.39,2.83,66.13,4.67,25,15,57,NOT_29EARLY
NOT_30EARLY,coarNOTs_7530-21,366,336,502,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.99,1.92,3.07,1.47,1.28,3.72,9.84,3.6,8.27,3.18,2.77,4.01,4.55,3.41,7.57,3.03,66.26,4.69,26,16,55,NOT_30EARLY
NOT_31EARLY,coarNOTs_7531-21,397,364,566,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.74,2.44,3.38,1.72,1.43,4.34,10.47,3.95,8.54,3.33,2.64,4.44,5.14,4.06,7.43,3.24,58.04,5.07,27,16,61,NOT_31EARLY
NOT_32EARLY,coarNOTs_7532-21,377,343,501,F,3,NOT_summer,summer_run,summer_run,NOT_summer,31.64,1.84,2.94,1.26,1.28,3.68,10.23,3.57,7.84,3.14,2.52,4.44,4.6,3.78,6.89,2.79,57.95,4.48,26,16,65,NOT_32EARLY
NOT_33EARLY,coarNOTs_7533-21,384,353,554,F,4,NOT_summer,summer_run,summer_run,NOT_summer,32.62,2.21,3.26,1.57,1.18,4.17,9.78,4.33,7.6,4.05,2.69,4.64,3.85,3.69,7.27,2.89,63.34,4.65,26,15,58,NOT_33EARLY
NOT_34EARLY,coarNOTs_7534-21,412,375,750,F,3,NOT_summer,summer_run,summer_run,NOT_summer,34.4,1.95,2.98,1.57,1.27,4.13,11.1,3.99,9.47,3.45,2.68,4.42,5.1,3.52,8.33,2.97,75.08,5.03,24,14,59,NOT_34EARLY
NOT_35EARLY,coarNOTs_7535-21,403,369,654,F,3,NOT_summer,summer_run,summer_run,NOT_summer,34.1,2.24,3.29,1.67,1.39,4.12,11.09,4,8.11,3.65,2.5,4.45,4.79,4.08,7.39,3.17,44.96,4.9,27,15,60,NOT_35EARLY
NOT_36EARLY,coarNOTs_7536-21,411,376,661,F,3,NOT_summer,summer_run,summer_run,NOT_summer,33.99,2.06,3.17,1.34,1.29,3.98,11.65,3.68,8.5,3.5,2.79,4.7,4.93,4.19,7.5,3.25,63.55,4.42,26,15,62,NOT_36EARLY
NOT_37EARLY,coarNOTs_7537-21,371,338,476,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.99,2.1,3.39,1.44,1.32,4.18,9.37,3.63,7.86,3.33,2.46,4.08,4.7,3.01,7.23,3.25,70.01,4.51,27,16,65,NOT_37EARLY
NOT_38EARLY,coarNOTs_7538-21,368,338,447,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.73,1.98,3.05,1.46,1.2,4.03,9.32,3.56,7.7,3.18,2.32,4.23,4.38,3.26,6.79,2.96,69.49,4.62,25,15,61,NOT_38EARLY
NOT_39EARLY,coarNOTs_7539-21,413,374,723,F,3,NOT_summer,summer_run,summer_run,NOT_summer,34.25,2.19,3.38,1.64,1.2,4.47,10.72,4.39,8.85,3.81,2.88,4.13,4.66,4.19,8.16,3.35,62.9,4.95,27,16,62,NOT_39EARLY
NOT_40EARLY,coarNOTs_7540-21,391,359,581,M,3,NOT_summer,summer_run,summer_run,NOT_summer,34.02,1.7,2.82,1.4,1.15,4.77,10.17,4.05,8.4,3.83,2.55,4.72,4.29,3.69,7.71,3.04,62.88,4.35,27,16,51,NOT_40EARLY
NOT_41EARLY,coarNOTs_7541-21,355,326,437,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.23,1.84,2.85,1.28,1.24,3.39,9.36,3.81,7.51,3.25,2.33,4.67,3.98,3.73,6.82,2.9,56.24,4.33,24,13,59,NOT_41EARLY
NOT_42EARLY,coarNOTs_7542-21,394,368,591,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.59,2.09,3.37,1.6,1.3,4,10.77,4.04,8.54,3.56,2.4,4.59,4.72,3.86,7.48,3.22,69.39,4.67,26,15,58,NOT_42EARLY
NOT_43EARLY,coarNOTs_7543-21,347,318,394,F,3,NOT_summer,summer_run,summer_run,NOT_summer,29.49,1.97,3.02,1.45,1.31,3.51,9.6,3.05,7.27,3.03,2.31,3.97,3.58,3.57,6.75,2.87,67.77,4.74,26,15,52,NOT_43EARLY
NOT_44EARLY,coarNOTs_7544-21,355,324,410,M,3,NOT_summer,summer_run,summer_run,NOT_summer,29.2,1.76,2.89,1.28,1.28,3.53,8.99,3.65,7.38,3.31,2.42,4.02,4.43,4.25,6.78,2.71,63.64,4.23,26,16,55,NOT_44EARLY
NOT_45EARLY,coarNOTs_7545-21,374,339,499,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.19,1.83,2.94,1.34,1.29,3.67,10.06,3.87,7.84,3.41,2.21,4.01,4.44,4.26,7.31,2.87,60.92,4.35,23,15,56,NOT_45EARLY
NOT_46EARLY,coarNOTs_7546-21,392,367,602,M,3,NOT_summer,summer_run,summer_run,NOT_summer,34.4,2.08,3.09,1.44,1.22,4.17,10.94,4.07,8.6,3.34,2.66,4.85,4.36,3.65,7.42,2.98,65.94,4.71,NA,NA,NA,NOT_46EARLY
NOT_47EARLY,coarNOTs_7547-21,380,345,531,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.78,1.91,3.11,1.26,1.27,3.78,10.29,3.84,8.21,3.28,2.6,4.47,4.21,3.98,7.52,2.98,72.26,4.9,26,16,56,NOT_47EARLY
NOT_48EARLY,coarNOTs_7548-21,365,337,499,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.58,1.85,3.04,1.16,1.44,3.56,10.62,3.12,7.95,3.23,2.45,4.6,4.9,4.11,7.06,3.05,52.2,4.45,26,16,64,NOT_48EARLY
NOT_49EARLY,coarNOTs_7549-21,373,338,525,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.07,1.57,2.49,0.98,0.99,3.16,10.27,3.45,7.88,3.25,2.57,3.92,4.61,4.19,6.8,2.73,76.52,4,26,14,54,NOT_49EARLY
NOT_50EARLY,coarNOTs_7550-21,395,359,612,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.98,1.9,3.06,1.55,1.18,4.1,10.45,4.26,8.4,3.46,2.7,4.75,4.31,4.02,7.71,3.04,74.13,4.69,27,15,60,NOT_50EARLY
NOT_51EARLY,coarNOTs_7551-21,409,364,656,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.38,2.06,3.12,1.53,1.25,4.03,10.42,4.49,8.31,3.7,2.71,4.26,5.06,3.93,7.75,3.25,63.2,4.74,26,16,58,NOT_51EARLY
NOT_52EARLY,coarNOTs_7552-21,400,366,668,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.4,2.08,3.2,1.46,1.35,3.98,10.56,4.49,8.19,3.55,2.74,4.57,4.77,3.9,7.85,3.28,59.57,4.7,25,16,56,NOT_52EARLY
NOT_53EARLY,coarNOTs_7553-21,420,381,717,F,3,NOT_summer,summer_run,summer_run,NOT_summer,35.35,2.3,3.29,1.63,1.37,4.43,11.48,4.41,9.21,3.51,3.04,4.49,4.92,4.19,8.5,3.25,64.28,5.03,29,13,66,NOT_53EARLY
NOT_54EARLY,coarNOTs_7554-21,391,354,540,F,3,NOT_summer,summer_run,summer_run,NOT_summer,32.13,2.12,3.2,1.53,1.39,4.15,9.83,3.88,8.4,3.19,2.55,4.13,4.75,3.74,7.49,3.03,62.64,4.58,26,16,62,NOT_54EARLY
NOT_55EARLY,coarNOTs_7555-21,401,369,540,M,3,NOT_summer,summer_run,summer_run,NOT_summer,33.64,2,3.16,1.38,1.61,4.11,10.15,4.15,8.39,3.6,2.66,4.23,4.79,4.23,6.8,3.11,58.23,4.85,25,15,65,NOT_55EARLY
NOT_56EARLY,coarNOTs_7556-21,375,345,511,M,3,NOT_summer,summer_run,summer_run,NOT_summer,31.96,1.87,2.94,1.44,1.35,3.52,10.15,3.55,8.22,3.26,2.54,4.63,4.62,3.95,6.96,2.97,66.44,4.61,27,17,61,NOT_56EARLY
NOT_57EARLY,coarNOTs_7557-21,392,364,512,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.58,1.73,2.94,1.29,1.18,3.77,10,3.89,7.55,3.32,2.38,3.87,4.26,4.09,7.14,2.81,65.93,4.6,25,16,56,NOT_57EARLY
NOT_58EARLY,coarNOTs_7558-21,374,341,459,M,3,NOT_summer,summer_run,summer_run,NOT_summer,30.54,2.01,3.11,1.6,1.17,3.92,9.83,3.42,7.43,3.47,2.27,4.2,4.61,4.05,7.03,2.97,48.57,4.53,28,17,56,NOT_58EARLY
