sample_id,FISHES_id,long_tot,long_fourche,mass,sex,egg_dvpment,pop,ecotype,true_eco,genotype,STL,MXL,MDL,POL,OOL,PSL,TTL,DOL,LUL,ANL,CPL,CPD,PCL,PVL,BDD,HDD,AMO,HEA,lower_gill_raker,upper_gill_raker,middle_gill_raker_length,data$sample_id
RUP_59,coarRUPs_7659-21,330,296,321,F,4,RUP,fall_run,fall_run,RUP,27.25,1.6,2.65,1.2,1.06,3.06,8.16,3.17,6.99,2.9,2.06,3.64,3.81,2.67,5.97,2.8,64.79,3.96,28,14,46,RUP_59
RUP_60,coarRUPs_7660-21,321,289,278,M,4,RUP,fall_run,fall_run,RUP,26.84,1.81,2.85,1.37,1.22,3.19,8.09,3.35,6.66,2.88,2.1,3.76,4.54,3.8,6.02,2.76,55.35,4.05,27,14,57,RUP_60
NOT_69_LATE,coarNOTs_7701-21,329,299,359,F,4,NOT_fall,fall_run,fall_run,NOT_fall,26.9,1.89,2.82,1.29,1.32,3.33,8.29,3,6.98,2.57,2.13,3.49,4.17,3.02,6.91,2.65,69.64,4.25,26,16,52,NOT_69_LATE
NOT_70_LATE,coarNOTs_7702-21,407,367,653,F,4,NOT_fall,fall_run,fall_run,NOT_fall,33.03,1.79,2.85,1.35,1.22,3.68,10.7,4.01,8.14,3.83,2.3,4.67,4.78,4.11,7.97,2.96,75.67,4.51,27,15,55,NOT_70_LATE
NOT_71_LATE,coarNOTs_7703-21,337,311,344,M,3,NOT_fall,fall_run,fall_run,NOT_fall,27.08,1.84,3.01,1.5,1.31,3.45,7.77,3.53,6.81,3.29,1.95,3.58,4.18,3.37,6.35,2.83,73.52,4.47,27,15,58,NOT_71_LATE
NOT_72_LATE,coarNOTs_7704-21,355,319,380,F,4,NOT_fall,fall_run,fall_run,NOT_fall,29.93,1.85,2.92,1.31,1,3.26,9.61,3.51,7.79,2.76,2.09,3.44,3.99,3.73,7.11,2.77,66.32,4.22,28,17,NA,NOT_72_LATE
NOT_73_LATE,coarNOTs_7705-21,411,381,395,F,5,NOT_fall,fall_run,summer_run,NOT_summer,34.61,2.38,3.36,1.73,1.23,4.23,11.18,3.96,8.68,3.24,2.69,4.62,4.72,4.64,8.05,3.33,63.45,5.12,25,16,59,NOT_73_LATE
NOT_74_LATE,coarNOTs_7706-21,312,285,640,F,4,NOT_fall,fall_run,fall_run,NOT_fall,25.74,1.93,2.66,1.22,1.25,3.02,8.23,2.95,6.51,2.31,1.91,3.51,3.31,3.05,6.02,2.6,65.2,3.9,26,15,48,NOT_74_LATE
NOT_75_LATE,coarNOTs_7707-21,389,360,271,M,3,NOT_fall,fall_run,summer_run,NOT_summer,35.59,2.01,3.19,1.25,1.2,4.02,10.29,3.42,8.4,3.65,2.53,4.33,4.2,3.72,7.21,3.18,55.01,4.33,27,16,65,NOT_75_LATE
NOT_76_LATE,coarNOTs_7708-21,360,327,486,F,4,NOT_fall,fall_run,fall_run,NOT_fall,29.84,2.13,3.02,1.55,1.31,3.65,9.56,3.71,7.22,2.96,2.24,3.88,4.37,4.09,7.17,2.9,54.64,4.65,29,16,52,NOT_76_LATE
NOT_77_LATE,coarNOTs_7709-21,334,299,352,M,4,NOT_fall,fall_run,fall_run,NOT_fall,27.23,1.9,2.89,1.33,1.28,3.24,8.54,3.52,7.15,2.45,2.1,3.72,3.93,3.56,6.5,2.76,68.84,4.06,28,14,45,NOT_77_LATE
NOT_78_LATE,coarNOTs_7710-21,340,310,394,F,5,NOT_fall,fall_run,fall_run,NOT_fall,28.33,1.87,2.88,1.34,1.45,3.2,9.62,3.25,7,2.79,2.14,4.1,4.04,3.41,6.97,2.94,52.08,4.15,28,17,50,NOT_78_LATE
NOT_79_LATE,coarNOTs_7711-21,305,277,270,M,3,NOT_fall,fall_run,fall_run,NOT_fall,25.09,1.6,2.59,1.09,1,2.84,8.09,2.74,6.38,2.61,1.9,3.56,3.38,2.83,5.91,2.63,62.92,3.56,30,18,52,NOT_79_LATE
NOT_80_LATE,coarNOTs_7712-21,355,324,368,M,3,NOT_fall,fall_run,fall_run,NOT_fall,29,1.76,2.74,1.4,1.23,3.52,9.13,3.31,7.37,2.8,2.21,3.75,4.3,3.35,6.4,2.81,65.72,4.28,27,16,45,NOT_80_LATE
NOT_81_LATE,coarNOTs_7713-21,387,352,490,M,4,NOT_fall,fall_run,summer_run,NOT_summer,32.11,1.97,3.13,1.57,1.17,4.02,10.71,3.95,7.61,3.49,2.46,4.02,4.55,3.86,7.03,3.08,55.72,4.71,27,16,71,NOT_81_LATE
NOT_82_LATE,coarNOTs_7714-21,368,333,420,M,3,NOT_fall,fall_run,fall_run,NOT_fall,30.42,2.04,3.38,1.38,1.3,3.96,9.42,3.76,7.25,3.24,2.44,3.88,4.88,4.28,6.5,3.22,62.34,4.46,28,15,56,NOT_82_LATE
NOT_83_LATE,coarNOTs_7715-21,310,280,281,M,3,NOT_fall,fall_run,fall_run,NOT_fall,25.65,1.54,2.55,1.25,1.05,2.92,7.99,3.05,6.65,2.8,1.93,3.23,3.42,3.24,6.01,2.56,62.03,3.77,28,15,45,NOT_83_LATE
NOT_84_LATE,coarNOTs_7716-21,338,294,313,M,3,NOT_fall,fall_run,fall_run,NOT_fall,26.44,1.93,2.74,1.39,1.34,3.3,7.66,3.24,6.83,3.18,2.27,3.47,4.56,4.69,6.45,2.78,56.73,4.29,20,12,55,NOT_84_LATE
NOT_85_LATE,coarNOTs_7717-21,322,292,308,F,4,NOT_fall,fall_run,fall_run,NOT_fall,26.72,2.06,2.84,1.6,1.23,3.11,8.3,2.86,6.7,2.53,1.79,3.94,3.52,3.7,6.19,2.72,52.12,3.93,28,15,54,NOT_85_LATE
NOT_86_LATE,coarNOTs_7718-21,317,286,312,F,4,NOT_fall,fall_run,fall_run,NOT_fall,25.93,1.82,2.58,1.25,1.29,3.15,7.91,3.07,6.62,2.52,2,3.65,3.68,3.96,6.31,2.68,57.9,3.98,28,17,48,NOT_86_LATE
NOT_87_LATE,coarNOTs_7719-21,415,381,485,M,3,NOT_fall,fall_run,summer_run,NOT_summer,35.33,2.42,3.76,1.77,1.26,4.4,10.63,4.47,8.82,3.87,2.78,4.88,4.99,4.04,7.93,3.59,59.98,5.14,27,14,60,NOT_87_LATE
NOT_88_LATE,coarNOTs_7720-21,328,295,291,F,5,NOT_fall,fall_run,fall_run,NOT_fall,27.05,1.65,2.56,1.14,1.06,3.1,8.16,3.29,6.86,2.59,2.02,3.8,4.01,3.67,6.31,2.53,62.58,3.89,28,17,47,NOT_88_LATE
NOT_89_LATE,coarNOTs_7721-21,381,348,425,M,4,NOT_fall,fall_run,summer_run,NOT_summer,31.32,2.24,3.31,1.67,1.21,3.78,9.49,3.88,7.56,3.56,2.46,3.84,3.76,3.94,6.72,3.09,56.75,4.68,25,15,60,NOT_89_LATE
NOT_90_LATE,coarNOTs_7722-21,315,286,344,F,4,NOT_fall,fall_run,fall_run,NOT_fall,27,1.87,2.73,1.2,1.38,3.05,8.3,3.54,6.94,2.71,2.24,3.54,3.72,3.36,7.08,2.65,62.27,3.85,28,17,51,NOT_90_LATE
NOT_91_LATE,coarNOTs_7723-21,324,291,265,M,4,NOT_fall,fall_run,fall_run,NOT_fall,26.03,1.78,2.72,1.28,1.18,3.2,8.06,2.89,6.5,2.45,2,3.84,4.03,3.83,5.8,2.59,54.98,3.86,27,17,48,NOT_91_LATE
NOT_92_LATE,coarNOTs_7724-21,388,355,315,M,4,NOT_fall,fall_run,fall_run,NOT_fall,26.96,1.81,2.68,1.11,1.14,3.27,8.57,3.34,6.56,2.93,2.28,3.56,4.17,3.38,6.16,2.76,54.88,4,28,14,62,NOT_92_LATE
NOT_93_LATE,coarNOTs_7725-21,379,340,NA,M,3,NOT_fall,fall_run,summer_run,NOT_summer,32.79,2.37,3.53,1.78,1.28,4.09,9.45,4.18,8.07,3.18,2.46,4.61,4.63,4.51,7.34,3.47,43.55,4.98,27,15,66,NOT_93_LATE
NOT_94_LATE,coarNOTs_7726-21,365,331,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,31.21,1.91,3,1.34,1.2,3.72,10.57,3.51,8.11,2.81,2.57,4.22,4.44,3.63,8.19,3.03,67,4.48,29,17,60,NOT_94_LATE
NOT_95_LATE,coarNOTs_7727-21,364,330,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,30.85,2.19,3.08,1.57,1.33,3.59,9.7,3.45,7.6,3.1,2.3,4.27,4.44,3.66,7,3.13,59.04,4.54,26,16,60,NOT_95_LATE
NOT_96_LATE,coarNOTs_7728-21,309,285,NA,M,4,NOT_fall,fall_run,fall_run,NOT_fall,25.91,1.96,2.72,1.4,1.2,3.26,8.13,2.77,6.77,2.04,1.99,3.71,3.75,3.46,5.75,2.64,56,4.02,29,17,54,NOT_96_LATE
NOT_97_LATE,coarNOTs_7729-21,332,296,NA,M,4,NOT_fall,fall_run,fall_run,NOT_fall,27.74,2.06,3.08,1.48,1.26,3.61,8.39,3.44,7.06,3.04,2.32,3.41,4.41,3.36,6.54,3.02,66.02,4.36,28,14,57,NOT_97_LATE
NOT_98_LATE,coarNOTs_7730-21,322,290,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,26.36,2.12,2.91,1.44,1.32,3.17,8.09,3.22,6.26,2.75,1.95,3.73,3.61,3.47,6.3,2.79,49.36,4.13,26,16,43,NOT_98_LATE
NOT_99_LATE,coarNOTs_7731-21,354,322,NA,F,4,NOT_fall,fall_run,fall_run,NOT_fall,29.41,2.17,3.18,1.59,1.4,3.66,8.46,3.23,7.43,2.98,2.18,3.74,4.4,3.85,6.86,2.99,51.33,4.3,27,15,65,NOT_99_LATE
NOT_100_LATE,coarNOTs_7732-21,334,301,NA,M,4,NOT_fall,fall_run,fall_run,NOT_fall,27.56,1.91,4.17,1.22,1.13,3.23,8.47,2.93,7.01,2.63,2.14,3.86,4.17,3.77,5.94,2.51,56.04,4.07,27,16,55,NOT_100_LATE
NOT_101_LATE,coarNOTs_7733-21,301,271,NA,M,4,NOT_fall,fall_run,fall_run,NOT_fall,24.76,1.64,2.71,1.24,1.12,2.87,7.76,3.17,6.27,2.77,1.96,3.54,3.72,3.79,5.94,2.5,60.61,3.68,27,17,49,NOT_101_LATE
NOT_102_LATE,coarNOTs_7734-21,312,280,NA,M,4,NOT_fall,fall_run,fall_run,NOT_fall,25.74,1.82,2.53,1.19,1.13,3.04,7.77,3.01,6.59,2.69,1.99,3.64,4.03,3.97,5.83,2.5,62.54,3.74,28,15,52,NOT_102_LATE
NOT_103_LATE,coarNOTs_7735-21,340,306,NA,M,4,NOT_fall,fall_run,fall_run,NOT_fall,28.49,2.02,2.89,1.43,1.36,3.27,9.26,3.06,7,2.81,2.26,3.88,4.12,4.09,6.57,2.83,67.05,4.33,26,16,55,NOT_103_LATE
NOT_104_LATE,coarNOTs_7736-21,300,271,NA,M,3,NOT_fall,fall_run,fall_run,NOT_fall,24.76,1.9,2.82,1.27,1.17,3.05,7.57,2.73,6.18,2.58,1.98,3.47,3.95,3.5,5.45,2.49,55.87,3.74,28,16,61,NOT_104_LATE
NOT_105_LATE,coarNOTs_7737-21,361,325,NA,F,4,NOT_fall,fall_run,fall_run,NOT_fall,29.07,2.02,2.84,1.28,1.26,3.53,8.9,3.66,7.54,3.02,2.36,3.8,4.52,3.75,7.21,2.88,55.63,4.38,26,16,50,NOT_105_LATE
NOT_106_LATE,coarNOTs_7738-21,340,307,NA,F,4,NOT_fall,fall_run,fall_run,NOT_fall,27.82,1.67,2.65,1.15,1.11,3.23,8.56,3.02,6.94,3.26,2.22,4.4,3.47,4.02,6.9,2.7,58.25,3.88,27,16,55,NOT_106_LATE
NOT_107_LATE,coarNOTs_7739-21,330,298,NA,F,4,NOT_fall,fall_run,fall_run,NOT_fall,27.38,1.91,2.83,1.33,1.21,3.31,8.73,3.42,6.94,2.89,2.26,4.07,4.36,3.6,7.42,2.78,49,4.36,28,15,51,NOT_107_LATE
NOT_108_LATE,coarNOTs_7740-21,397,366,NA,F,3,NOT_fall,fall_run,fall_run,NOT_fall,33.39,2.13,3.35,1.6,1.36,4.4,9.8,3.88,8.14,3.36,2.66,4.75,4.95,5.08,7.33,3.37,55.29,4.88,29,17,67,NOT_108_LATE
NOT_109_LATE,coarNOTs_7741-21,345,312,NA,F,4,NOT_fall,fall_run,fall_run,NOT_fall,28.4,1.93,2.67,1.36,1.29,3.32,8.87,3.45,7.36,2.5,2.1,4.18,3.63,3.78,6.99,2.67,55.59,4.31,28,15,55,NOT_109_LATE
NOT_110_LATE,coarNOTs_7742-21,382,351,NA,M,4,NOT_fall,fall_run,summer_run,NOT_summer,32.28,2.39,3.47,1.7,1.23,3.82,9.08,4.41,7.62,3.82,2.62,4.66,4.55,4.09,7.25,3.39,52.2,4.78,25,15,60,NOT_110_LATE
NOT_111_LATE,coarNOTs_7743-21,330,299,NA,M,3,NOT_fall,fall_run,fall_run,NOT_fall,26.82,1.77,2.7,1.47,1.12,3.25,7.67,3.42,7.01,3.2,2.2,3.89,4.22,4.65,6.51,2.83,48.68,4.14,29,16,60,NOT_111_LATE
NOT_112_LATE,coarNOTs_7744-21,345,315,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,28.52,2.38,3.36,1.58,1.26,4.04,8.6,3.26,7.2,3.08,2.24,3.78,4.83,3.92,6.89,3.4,59.43,4.6,28,16,66,NOT_112_LATE
NOT_113_LATE,coarNOTs_7745-21,383,354,NA,M,3,NOT_fall,fall_run,summer_run,NOT_summer,32.2,2.34,3.23,1.65,1.25,3.77,9.82,3.98,7.72,3.96,2.77,4.37,4.63,3.87,6.95,3.18,59.32,4.82,27,15,65,NOT_113_LATE
NOT_114_LATE,coarNOTs_7746-21,380,345,NA,F,5,NOT_fall,fall_run,summer_run,NOT_summer,31.68,1.99,3.02,1.28,1.32,3.55,9.41,4.52,8.15,3.21,2.43,4.66,4.08,3.98,8.47,3.24,71.34,4.68,29,17,61,NOT_114_LATE
NOT_115_LATE,coarNOTs_7747-21,354,317,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,28.54,2.11,3.03,1.43,1.19,3.33,9.3,3.21,7.48,2.96,2.1,3.46,4.45,4.21,6.86,3.03,62.87,4.16,27,16,48,NOT_115_LATE
NOT_116_LATE,coarNOTs_7748-21,354,320,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,26.49,2.24,3.2,1.59,1.28,3.66,8.79,3.19,7.26,2.51,2.07,3.86,4.15,4.21,6.77,3.09,60.66,4.51,29,15,50,NOT_116_LATE
NOT_117_LATE,coarNOTs_7749-21,330,295,NA,M,3,NOT_fall,fall_run,fall_run,NOT_fall,27.3,1.85,2.89,1.38,1.16,3.31,8.05,3.18,7.07,2.82,2.11,3.88,4.32,3.85,6.12,2.79,54.89,4.2,27,11,51,NOT_117_LATE
NOT_118_LATE,coarNOTs_7750-21,335,307,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,28.27,2.11,3.05,1.48,1.31,3.42,9,3.12,7.14,2.51,2.09,4.39,3.92,3.81,7.13,2.92,59.18,4.21,29,16,48,NOT_118_LATE
NOT_119_LATE,coarNOTs_7751-21,348,312,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,29.12,2.01,3.11,1.42,1.34,3.59,9.45,3.51,7.26,2.58,2.23,3.97,4.13,3.38,7.35,3.03,65.82,4.22,28,17,50,NOT_119_LATE
NOT_120_LATE,coarNOTs_7752-21,334,306,NA,M,5,NOT_fall,fall_run,fall_run,NOT_fall,28.23,2.01,2.85,1.45,1.35,3.4,8.36,3.58,7.25,2.75,2.04,3.96,3.66,3.67,6.35,2.85,58.02,4.38,26,16,58,NOT_120_LATE
NOT_121_LATE,coarNOTs_7753-21,322,290,NA,M,3,NOT_fall,fall_run,fall_run,NOT_fall,26.37,1.95,2.99,1.36,1.24,3.4,8.02,3.35,6.86,2.93,2.12,3.33,3.82,3.45,6.36,2.89,57.45,4.08,25,16,57,NOT_121_LATE
NOT_122_LATE,coarNOTs_7754-21,345,314,NA,M,3,NOT_fall,fall_run,fall_run,NOT_fall,28.86,2.05,3.13,1.37,1.2,3.27,8.51,3.56,7.48,3.22,2.18,4.24,4.22,3.7,6.83,2.95,54.08,4.19,26,17,63,NOT_122_LATE
NOT_123_LATE,coarNOTs_7755-21,329,295,NA,M,3,NOT_fall,fall_run,summer_run,NOT_summer,26.79,2.08,2.87,1.43,1.22,3.29,7.77,3.47,6.65,2.77,2.25,3.53,4.44,3.56,5.88,2.76,55.31,3.89,29,15,55,NOT_123_LATE
NOT_124_LATE,coarNOTs_7756-21,329,297,NA,M,5,NOT_fall,fall_run,summer_run,NOT_summer,26.91,1.96,2.97,1.4,1.2,3.27,8.17,3.06,6.62,3.1,2.06,3.73,4.2,3.6,5.8,2.61,55.03,4.11,30,16,65,NOT_124_LATE
NOT_125_LATE,coarNOTs_7757-21,285,260,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,23.01,1.62,2.42,1.1,1.12,3.17,6.39,2.83,5.94,2.46,1.67,3.2,3.47,3.06,5.59,2.24,57.06,3.47,26,15,44,NOT_125_LATE
NOT_126_LATE,coarNOTs_7758-21,317,288,NA,M,4,NOT_fall,fall_run,fall_run,NOT_fall,26.5,1.88,2.63,1.28,1.13,3.14,8.32,3.15,6.62,2.23,2.1,3.76,4.11,3.2,5.99,2.6,54.24,3.82,29,16,59,NOT_126_LATE
NOT_127_LATE,coarNOTs_7759-21,325,290,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,26.7,2.15,3.11,1.58,1.23,3.38,8.45,3.07,7.11,2.83,2.2,3.58,3.99,3.29,6.94,2.94,55.57,4.41,28,16,42,NOT_127_LATE
NOT_128_LATE,coarNOTs_7760-21,320,286,NA,M,3,NOT_fall,fall_run,fall_run,NOT_fall,26.16,1.92,2.75,1.38,1.18,3.26,7.65,3.13,6.19,3.1,1.9,3.58,3.94,3.5,5.54,2.58,55.05,3.77,28,14,58,NOT_128_LATE
NOT_129_LATE,coarNOTs_7761-21,325,299,NA,M,3,NOT_fall,fall_run,fall_run,NOT_fall,26.89,1.7,2.57,1.23,1.16,3.86,7.69,2.72,7.29,2.45,2.1,3.77,3.89,3.64,6.49,2.42,72.39,4.11,28,16,52,NOT_129_LATE
NOT_130_LATE,coarNOTs_7762-21,325,295,NA,F,5,NOT_fall,fall_run,fall_run,NOT_fall,26.9,2.1,2.84,1.68,1.34,3.31,8.12,3.16,6.75,2.79,2.01,3.54,3.49,3.51,6.14,2.82,54.15,4.28,27,16,55,NOT_130_LATE
